Word,Frequency
you,103
the,75
to,75
is,69
a,69
it,58
i,58
of,49
and,48
not,36
be,32
that,31
in,26
but,26
love,23
can,21
if,21
t,20
s,19
your,18
who,18
will,18
have,17
what,17
are,17
one,15
all,15
as,14
for,14
up,14
never,13
with,13
she,13
my,13
we,12
life,12
or,12
no,12
her,12
think,12
more,11
there,11
when,11
do,11
only,10
make,10
so,10
than,9
like,9
don,9
because,9
from,9
good,8
them,8
me,8
live,7
just,7
know,7
day,7
re,7
going,7
some,7
give,7
at,7
keep,7
may,7
people,7
time,7
book,7
see,7
world,6
our,6
without,6
has,6
how,6
truth,6
friends,6
ll,6
remember,6
go,6
on,6
read,6
an,6
everything,5
person,5
must,5
man,5
get,5
they,5
come,5
let,5
much,5
doesn,5
believe,5
yourself,5
thing,5
about,5
great,5
every,5
us,5
way,5
by,5
things,5
lives,5
really,5
am,5
m,5
thinking,4
nothing,4
become,4
this,4
best,4
well,4
too,4
find,4
makes,4
always,4
else,4
hurt,4
opposite,4
indifference,4
happens,4
any,4
which,4
want,4
something,4
music,4
everyone,4
reading,4
drink,4
die,4
harry,3
though,3
other,3
genius,3
better,3
until,3
hate,3
most,3
heart,3
fail,3
trying,3
then,3
high,3
old,3
understand,3
before,3
now,3
where,3
death,3
books,3
fairy,3
tales,3
should,3
small,3
mind,3
little,3
kind,3
he,3
enough,3
anything,3
those,3
big,3
its,3
forget,3
was,3
right,3
done,3
could,3
troubles,3
truly,2
two,2
ways,2
miracle,2
lady,2
stupid,2
beauty,2
absolutely,2
try,2
loved,2
ve,2
woman,2
tea,2
matter,2
mess,2
part,2
ones,2
through,2
true,2
also,2
say,2
break,2
half,2
mean,2
hold,2
head,2
smiling,2
beautiful,2
smile,2
takes,2
stand,2
last,2
again,2
matters,2
perfect,2
laugh,2
human,2
making,2
change,2
nonsense,2
necessary,2
living,2
lack,2
while,2
loving,2
intimate,2
hand,2
eyes,2
happiness,2
anyone,2
thinks,2
sitting,2
eye,2
beholder,2
children,2
intelligent,2
might,2
imagination,2
feel,2
learn,2
course,2
inside,2
real,2
got,2
adventure,2
point,2
library,2
been,2
long,2
into,2
girl,2
left,2
someone,2
grow,2
does,2
begin,2
would,2
often,2
between,2
friend,2
door,2
isn,2
thought,2
myself,2
happen,2
hope,2
vulnerable,2
broken,2
safe,2
casket,2
pity,2
new,2
shall,2
walk,2
out,2
whom,2
fear,2
lie,2
around,2
his,2
write,2
needs,2
created,1
process,1
cannot,1
changed,1
changing,1
choices,1
show,1
far,1
abilities,1
gentleman,1
pleasure,1
novel,1
intolerably,1
imperfection,1
madness,1
ridiculous,1
boring,1
success,1
rather,1
value,1
hated,1
failed,1
found,1
10,1
000,1
won,1
work,1
bag,1
strong,1
hot,1
water,1
sunshine,1
night,1
sometimes,1
universal,1
decide,1
girls,1
act,1
anyway,1
stay,1
sisters,1
lovers,1
baby,1
actually,1
pretty,1
soulmate,1
whole,1
goes,1
once,1
gonna,1
sweetie,1
chin,1
importantly,1
deal,1
bravery,1
enemies,1
explain,1
six,1
year,1
first,1
loves,1
aren,1
either,1
together,1
cause,1
twice,1
admit,1
being,1
mistakes,1
onto,1
second,1
knows,1
analyze,1
expect,1
happy,1
mad,1
miss,1
wakes,1
brain,1
cells,1
fantasy,1
ingredient,1
gone,1
intended,1
ended,1
needed,1
art,1
ugliness,1
faith,1
heresy,1
friendship,1
unhappy,1
marriages,1
sleepy,1
conscience,1
ideal,1
plans,1
knowing,1
simply,1
problems,1
pride,1
upon,1
chest,1
fall,1
asleep,1
close,1
minute,1
angry,1
lose,1
sixty,1
seconds,1
judge,1
church,1
christian,1
garage,1
car,1
misinformed,1
black,1
today,1
truer,1
alive,1
youer,1
impossible,1
failing,1
unless,1
cautiously,1
lived,1
case,1
default,1
logic,1
z,1
everywhere,1
hits,1
pain,1
places,1
happening,1
why,1
earth,1
worth,1
suffering,1
organized,1
next,1
need,1
chocolate,1
alone,1
fool,1
imagined,1
paradise,1
late,1
reader,1
thousand,1
dies,1
said,1
jojen,1
reads,1
cup,1
large,1
suit,1
lies,1
eventually,1
trust,1
riding,1
bicycle,1
balance,1
moving,1
lover,1
thrill,1
kissing,1
forehead,1
staring,1
space,1
wise,1
kisses,1
listens,1
leaves,1
darkness,1
stars,1
born,1
end,1
seem,1
battle,1
war,1
growing,1
notion,1
halves,1
nature,1
scares,1
angel,1
sin,1
devil,1
were,1
physicist,1
probably,1
musician,1
daydreams,1
terms,1
difference,1
stupidity,1
limits,1
drug,1
bella,1
loyal,1
closes,1
another,1
opens,1
look,1
closed,1
opened,1
finding,1
creating,1
problem,1
drinking,1
poured,1
bad,1
attempt,1
order,1
celebrate,1
face,1
madly,1
kiss,1
anytime,1
wrung,1
possibly,1
sure,1
keeping,1
intact,1
even,1
animal,1
wrap,1
carefully,1
round,1
hobbies,1
luxuries,1
avoid,1
entanglements,1
lock,1
coffin,1
selfishness,1
dark,1
motionless,1
airless,1
unbreakable,1
impenetrable,1
irredeemable,1
wander,1
lost,1
dead,1
above,1
writing,1
sit,1
down,1
typewriter,1
bleed,1
finish,1
each,1
blunders,1
absurdities,1
doubt,1
crept,1
soon,1
tomorrow,1
serenely,1
spirit,1
encumbered,1
schooling,1
interfere,1
education,1
heard,1
ahead,1
behind,1
bought,1
bat,1
ready,1
had,1
flower,1
garden,1
forever,1
crazy,1
horrible,1
lead,1
trouble,1
having,1
open,1
insist,1
coming,1
along,1
put,1
low,1
oh,1
knocks,1
wish,1
author,1
wrote,1
terrific,1
yours,1
call,1
him,1
phone,1
whenever,1
felt,1
reason,1
talk,1
whose,1
answers,1
accept,1
dreamer,1
someday,1
join,1
free,1
prejudice,1
equally,1
question,1
stop,1
classic,1
praise,1
made,1
mistake,1
tried,1
very,1
rapid,1
jumps,1
admiration,1
matrimony,1
moment,1
choice,1
easy,1
happened,1
boy,1
brave,1
strayed,1
across,1
path,1
lord,1
voldemort,1
cedric,1
diggory,1
declare,1
after,1
enjoyment,1
sooner,1
