Author,Albert Einstein,Alexandre Dumas fils,Alfred Tennyson,Allen Saunders,André Gide,Ayn Rand,Bob Marley,C.S. Lewis,Charles Bukowski,Charles M. Schulz,Douglas Adams,Dr. Seuss,E.E. Cummings,Eleanor Roosevelt,Elie Wiesel,Ernest Hemingway,Friedrich Nietzsche,Garrison Keillor,George Bernard Shaw,George Carlin,George Eliot,George R.R. Martin,Harper Lee,Haruki Murakami,Helen Keller,J.D. Salinger,J.K. Rowling,J.M. Barrie,J.R.R. Tolkien,James Baldwin,Jane Austen,Jim Henson,Jimi Hendrix,John Lennon,Jorge Luis Borges,Khaled Hosseini,Madeleine L'Engle,Marilyn Monroe,Mark Twain,Martin Luther King Jr.,Mother Teresa,Pablo Neruda,Ralph Waldo Emerson,Stephenie Meyer,Steve Martin,Suzanne Collins,Terry Pratchett,Thomas A. Edison,W.C. Fields,William Nicholson
Albert Einstein,1.0,0.0,0.0,0.09179709913366955,0.0,0.0,0.11287677996480797,0.07658458649642423,0.0,0.0,0.023519559890405273,0.07626707674324326,0.0,0.03407980826291797,0.026114212935924894,0.0,0.0,0.014756287640267863,0.14996135212037157,0.0,0.0,0.03160796023620231,0.09650457907077539,0.20043732035815953,0.0,0.013505698687466445,0.04654615194987403,0.0,0.0,0.012831451545077668,0.03559407473604193,0.0,0.17838715958389897,0.082803129550646,0.0,0.0,0.028268330314611838,0.06252538590993284,0.11884433616350645,0.0,0.0,0.011128011113203702,0.038269016603505054,0.029587228786274556,0.05447542571096041,0.035790245404697746,0.0,0.03606801347053748,0.0,0.18396222055719647
Alexandre Dumas fils,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052699486485617425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfred Tennyson,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.057991393492672134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11958023994866028,0.0,0.0,0.0,0.023292691937913265,0.0,0.0,0.0,0.0,0.11529857366091867,0.08254263097742884,0.0,0.0,0.0,0.0,0.0,0.03569934422707058,0.0,0.07025911320030354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allen Saunders,0.09179709913366955,0.0,0.0,1.0000000000000002,0.0,0.0,0.06394981158309433,0.0,0.2242586666939987,0.0,0.0,0.0,0.0,0.0,0.041711218519603695,0.0,0.0,0.0,0.2395274459596312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097096535310278,0.0,0.0,0.0,0.0,0.04158161258450618,0.08398769451013446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
André Gide,0.0,0.0,0.0,0.0,1.0,0.0,0.07083177384929089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2272349130402758,0.0,0.03558007098805983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ayn Rand,0.0,0.0,0.0,0.0,0.0,1.0,0.10121831239413259,0.0,0.0,0.0,0.0,0.06764555010006215,0.0,0.0,0.0,0.0,0.0,0.0,0.15750460603823235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08568865370368925,0.0,0.0,0.0,0.0,0.1415919252708927,0.037059985957544006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bob Marley,0.11287677996480797,0.0,0.0,0.06394981158309433,0.07083177384929089,0.10121831239413259,1.0,0.05685926931080945,0.021908438255376965,0.11196509329642201,0.027217660073173586,0.05748036338769218,0.0,0.0705267461291702,0.00693605268336383,0.0,0.08307829592249646,0.05779536888626521,0.0,0.0,0.0,0.0,0.0,0.08885020682642494,0.0,0.0,0.05602476787502413,0.0,0.0,0.05934496113375334,0.07051459741946159,0.0,0.07076625981078474,0.0,0.0,0.13795449783166058,0.0,0.2231596991227596,0.1082608260371328,0.0,0.027486382847374556,0.039478574242372874,0.028964050729991385,0.0,0.07143062378927312,0.1475065974059998,0.0,0.03135584156956028,0.0,0.062179257356856026
C.S. Lewis,0.07658458649642423,0.0,0.0,0.0,0.0,0.0,0.05685926931080945,1.0000000000000002,0.009572828177037149,0.09349631225190665,0.0,0.0,0.0,0.05406939045391292,0.018184127902888786,0.023716320900439236,0.039688330707218146,0.03558398725535084,0.0,0.0,0.0,0.0,0.0,0.042749276434961195,0.030115551376451614,0.03942446077324639,0.018281721770136355,0.0,0.0,0.11665426661063091,0.08490545062899177,0.0,0.03166165456371411,0.0,0.0,0.0,0.03469282190513474,0.12338413489997191,0.009711983112889698,0.0,0.07206056875594953,0.0697389808742813,0.043155660682055494,0.0,0.032638367134203775,0.03626676085304795,0.0,0.0,0.0,0.0
Charles Bukowski,0.0,0.0,0.057991393492672134,0.2242586666939987,0.0,0.0,0.021908438255376965,0.009572828177037149,0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04759753723667249,0.0,0.0,0.0,0.07303987996001289,0.0,0.0,0.0,0.038832263501120616,0.030921338010810737,0.0,0.0,0.0,0.03540382206815859,0.0,0.0,0.0,0.0,0.0,0.0,0.03858999382934974,0.07303195769997613,0.0,0.028275011660122848,0.0,0.02386852788595191,0.0,0.0,0.03628514923245158,0.030240054633616967,0.0,0.0,0.0
Charles M. Schulz,0.0,0.0,0.0,0.0,0.0,0.0,0.11196509329642201,0.09349631225190665,0.0,1.0,0.0,0.0,0.0,0.0,0.024032634668852446,0.0,0.05245317001711399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09847583076286327,0.015786782153122614,0.0,0.0,0.1541734300917907,0.1076592243856685,0.0,0.0,0.0,0.0,0.17167205869249558,0.0,0.10459835040514694,0.0,0.0,0.09523719433728456,0.09216892107668437,0.0,0.0,0.0,0.047931130866357245,0.0,0.0,0.0,0.0
