Author,AvgQuoteLength,StdQuoteLength,MaxQuoteLength,AvgWordCount,StdWordCount,MaxWordCount,AvgYearOfBirth,believe,best,book,come,day,die,doesn,don,drink,forget,friends,going,good,great,happens,high,hurt,indifference,just,know,let,life,like,little,live,lives,ll,love,make,makes,man,music,opposite,people,person,read,reading,really,remember,small,tales,thing,things,think,thinking,time,truth,want,way,world
Albert Einstein,93.7,35.40888149728665,147,18.0,7.2571803523590805,31,1879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5733470110516952,0.7173514936986657,0.0,0.9997933224789548,0.0,0.0,0.0,0.0,0.0,1.0,0.9154138230546558,0.0,0.0,0.0,0.525675646231285,0.0,0.0,0.0,0.0,0.6209767667733032,0.0,0.0,0.2309150513862664,0.9173882446972853,0.0,0.0,0.5814232280250724,0.0,0.39799347795062406
Alexandre Dumas fils,72.0,0.0,72,11.0,0.0,11,1824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfred Tennyson,93.0,0.0,93,18.0,0.0,18,1809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Allen Saunders,61.0,0.0,61,12.0,0.0,12,1899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8144878117714316,0.0,0.0,0.0,0.0,0.0,0.0,0.5801806653756958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
André Gide,82.0,0.0,82,19.0,0.0,19,1869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ayn Rand,74.0,0.0,74,16.0,0.0,16,1905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9024917694407543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43070710011758134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bob Marley,286.3333333333333,356.0074905579001,697,56.666666666666664,70.50059101407118,138,1945.0,0.0,0.0,0.0,0.0,0.18072625026988254,0.0,0.0,0.7532756493109033,0.0,0.0,0.0,0.5214194770193418,0.5129132551750365,0.0,0.0,0.0,0.7187186025264557,0.0,0.477620905096161,0.17414918723359024,0.18831891232772582,0.0,0.0,0.0,0.0,0.0,0.0,0.14000835629962288,0.17414918723359024,0.4165800363351152,0.0,0.6552000205933182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5546466674201364,0.0,0.1683478064878941,0.2082900181675576,0.0,0.477620905096161,0.0,0.0,0.0
C.S. Lewis,184.4,187.4441250079607,516,34.8,32.414502926930716,92,1898.0,1.0,1.0,1.0,0.0,0.5193856495771536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38445963284076423,0.0,0.0,0.0,0.7752780723408071,0.3214428284771833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5670141128335786,0.0,0.0,0.0,0.6393227219963856,0.0,0.0,0.0,0.0,0.0,0.0,0.38445963284076423,0.0,0.0
Charles Bukowski,161.5,127.9863273947651,252,28.0,22.627416997969522,44,1920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7944819197925633,0.17064933580099825,0.0,0.0,0.14267819165385565,0.0,0.5467752285593891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7671801960962826,0.0,0.0,0.14267819165385565,0.0,0.0,0.0,0.0,0.6414316383821969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charles M. Schulz,73.0,0.0,73,14.0,0.0,14,1922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5257274697642011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5257274697642011,0.0,0.0,0.0,0.0,0.0,0.0,0.5550140374262388,0.0,0.0,0.0,0.3730692607686773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Douglas Adams,95.0,0.0,95,22.0,0.0,22,1952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dr. Seuss,107.66666666666667,53.683020282643064,206,21.166666666666668,10.943795807061948,41,1904.0,0.0,0.0,0.0,0.9037615568863828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4280362698350472,0.0,0.0,0.0,0.24020703407143204,0.0,0.0,0.0,0.4525208582915415,0.0,0.0,1.0,0.0,0.0,0.0,0.5412346694924094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8843571543369994,0.48934041664384514,0.0,0.0,0.0,0.46681090772706285,0.0,0.0,0.5126752012623168,0.9707216803917619,0.0,0.0,0.0,0.0,0.0,0.0
E.E. Cummings,60.0,0.0,60,12.0,0.0,12,1894.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eleanor Roosevelt,63.0,31.11269837220809,85,13.5,7.7781745930520225,19,1884.0,0.0,0.0,0.0,0.0,0.6924123792563893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7297599850512536,0.0,0.0,0.6837034183167392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.721501973006662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elie Wiesel,224.0,0.0,224,37.0,0.0,37,1928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6988482361395543,0.0,0.0,0.0,0.11419973420466106,0.0,0.0,0.0,0.0,0.0,0.10089948660351229,0.0,0.0,0.0,0.0,0.6988482361395543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ernest Hemingway,60.0,28.284271247461902,80,12.5,4.949747468305833,16,1899.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Friedrich Nietzsche,82.0,0.0,82,16.0,0.0,16,1844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5578638870651285,0.0,0.82993245719672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garrison Keillor,123.0,0.0,123,24.0,0.0,24,1942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9003453146482422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43517618775727784,0.0,0.0,0.0,0.0,0.0,0.0
George Bernard Shaw,69.0,0.0,69,10.0,0.0,10,1856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Carlin,81.0,0.0,81,16.0,0.0,16,1937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Eliot,54.0,0.0,54,12.0,0.0,12,1819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George R.R. Martin,91.0,14.142135623730951,101,18.5,0.7071067811865476,19,1948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9535950483779214,0.0,0.0,0.0,0.0,0.30109215152359836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harper Lee,148.0,0.0,148,27.0,0.0,27,1926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5861056346111364,0.0,0.0,0.5594286104179461,0.0,0.0,0.0,0.0,0.5861056346111364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haruki Murakami,110.0,0.0,110,20.0,0.0,20,1949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49265630952312706,0.516149216470195,0.0,0.0,0.0,0.0,0.0,0.0,0.4404104082563178,0.5449022107899364,0.0,0.0,0.0,0.0,0.0
