,Albert Einstein,J.K. Rowling,Jane Austen,Marilyn Monroe,André Gide,Thomas A. Edison,Eleanor Roosevelt,Steve Martin,Bob Marley,Dr. Seuss,Douglas Adams,Elie Wiesel,Friedrich Nietzsche,Mark Twain,Allen Saunders,Pablo Neruda,Ralph Waldo Emerson,Mother Teresa,Garrison Keillor,Jim Henson,Charles M. Schulz,William Nicholson,Jorge Luis Borges,George Eliot,George R.R. Martin,C.S. Lewis,Martin Luther King Jr.,James Baldwin,Haruki Murakami,Alexandre Dumas fils,Stephenie Meyer,Ernest Hemingway,Helen Keller,George Bernard Shaw,Charles Bukowski,Suzanne Collins,J.R.R. Tolkien,Alfred Tennyson,Terry Pratchett,J.D. Salinger,George Carlin,John Lennon,W.C. Fields,Ayn Rand,Jimi Hendrix,J.M. Barrie,E.E. Cummings,Khaled Hosseini,Harper Lee,Madeleine L'Engle
Albert Einstein,1.0,0.026078680992715042,0.02417010433466412,0.036612640193427935,0.006413339717704765,0.024027431450593686,0.020006777471135082,0.03167587804443897,0.06231786626442044,0.046702022474218334,0.018540450352192765,0.01937545075966544,0.004799851415817996,0.0667493283912642,0.04593054014579537,0.012437204941764597,0.0254572808635026,0.005988295400335692,0.013640757379709456,0.005097317188096141,0.003979205473456728,0.10184351359641043,0.006092139716115385,0.005536818651152896,0.023704982501395307,0.0422244397968799,0.0035219619512276514,0.011195049271676227,0.1078055725807612,0.007063104205582895,0.019374658568555223,0.006146138596843193,0.005748646966724474,0.07704993764874896,0.005035727443566198,0.02359744482654913,0.006937373348422163,0.00048768723868875517,0.007270254189298597,0.011633827394609188,0.006039523174521258,0.040213822170476574,0.0025454892441273535,0.003014415771560917,0.08809645586636286,0.004633233801748547,0.005660408414428744,0.0048818566478210255,0.04972596165967895,0.01758181154322428
J.K. Rowling,0.026078680992715042,1.0,0.034827880120066115,0.09445164167922403,0.010099432683363012,0.017259643736467562,0.011655845290060557,0.0009813695152690537,0.03067439821772067,0.031717457550308005,0.003731762088775419,0.012276563391368728,0.013204456706416921,0.04295938652423849,0.0020608925538489853,0.017140144749417673,0.018857462803343192,0.09517459825880478,0.03157048844411352,0.020028728901588036,0.02714904273913695,0.0038168219086613642,0.0244481291878624,0.003632132863369534,0.01236754521030616,0.01175704664593635,0.0020427897816891524,0.02726412952840162,0.0058048286611819405,0.004083999986296518,0.001771449133918888,0.0034475329398836684,0.0038931005969350388,0.003709552586181029,0.022752226017265648,0.059945279387121825,0.0036663006295375835,0.013600033694502878,0.041326865710229664,0.004434072954520613,0.00555591176085591,0.03669400383947714,0.001870858913714057,0.0031348117382768367,0.04842645269643974,0.028588032459097478,0.05371685504671281,0.03460482486848322,0.023117301355913403,0.0036692830075192927
Jane Austen,0.02417010433466412,0.034827880120066115,1.0,0.04506690857866933,0.007935492194551245,0.0049632884848865725,0.038191805249529795,0.03815385258240036,0.039450566433800766,0.04180784504272547,0.019209174062972817,0.014290684689175805,0.029422513617964573,0.06013483732893216,0.0022438981911309824,0.05928900560204072,0.041048000856088174,0.07176441598959074,0.018196529002270666,0.018993603093669056,0.06597378288273398,0.003546750666683309,0.03427295912151398,0.0034944390427327256,0.004418499051692488,0.04779060102483426,0.0021287168505914555,0.08469868253750334,0.04829569390701016,0.0040986383131211175,0.021959036219743114,0.018725059143944022,0.003700389883307102,0.003657791381635751,0.022117956738836844,0.04943111698168009,0.0038885889223072147,0.00045686533058447525,0.03662001847251225,0.06192595978000659,0.004624686803807183,0.01649001820535035,0.002061970102487646,0.0026929894775872213,0.0033216871111038915,0.00320698556191314,0.049389096680536135,0.0088414550485129,0.048123398962056335,0.02516475403944788
Marilyn Monroe,0.036612640193427935,0.09445164167922403,0.04506690857866933,1.0,0.029849812794834597,0.05699015309419095,0.026497988424412373,0.010723537172424748,0.11681486633171118,0.08986900235748978,0.006760512263759349,0.01779144544307381,0.09830525507645738,0.08519449830959355,0.021706051884076517,0.03754092127178062,0.014111489141351175,0.03226057540218767,0.060434989388627305,0.01912823426512197,0.05730598522195804,0.00684232145523042,0.0038836205852308425,0.005733350036940467,0.009435970641523697,0.0608330511197178,0.002247919052445784,0.03782363752694074,0.013247719103687054,0.03266247344933138,0.013272621749027639,0.004436185468124995,0.006526658717498973,0.037822005199676045,0.09414655263043972,0.05619184689606301,0.004350315544367433,0.0004450171561265564,0.026564663567871884,0.04181698056194633,0.015900156986914122,0.07894495924406443,0.017134169407742518,0.08087948564694002,0.03180924218543354,0.02325152356317385,0.004747363448153401,0.036220378407941914,0.02285127933082885,0.007869307986575228
André Gide,0.006413339717704765,0.010099432683363012,0.007935492194551245,0.029849812794834597,1.0000000000000002,0.012824840439128004,0.0006596313188440789,0.0010154798485085869,0.03759257063421428,0.00893292295722261,0.005805620412706809,0.003446699330838062,0.011866921230752886,0.01199302253373379,0.00236015315979171,0.01029031244035946,0.018955797108008585,0.005291080144837342,0.018598175045657375,0.0072309821397375925,0.007628398349630215,0.0059541960152858465,0.004506350238201161,0.005538297176165479,0.004834393838980605,0.0021300819455834417,0.0023772271150013713,0.008283180289330588,0.006939017006137289,0.006510215372757955,0.001783844471967497,0.004944135441878894,0.0062288464690773235,0.005683674442723496,0.012285354438907433,0.004966007563709012,0.005207476911585112,0.00045413398709044227,0.010577000375275916,0.006108145942093788,0.010129058496172733,0.0014514416716852113,0.0019059909664912555,0.003957214414930029,0.005519838256221622,0.005220655494576767,0.004952947617066077,0.1321550055192004,0.011815901676502696,0.004693217359535297
Thomas A. Edison,0.024027431450593686,0.017259643736467562,0.0049632884848865725,0.05699015309419095,0.012824840439128004,1.0,0.0006539467620558864,0.0009981582104314163,0.016056937653301514,0.047550371536581516,0.0087323534633598,0.0033321408635695396,0.02050186000645879,0.011739772460913962,0.002310143558395941,0.014590934818123236,0.00792940596576634,0.006220542737290837,0.009756215948019899,0.0144880535473405,0.005451740141554012,0.008843214551231594,0.004592425557674081,0.007294735711803675,0.004257535780042445,0.0020693648411511463,0.0024327274920255396,0.007595258014626717,0.00865875176086431,0.00736264385983919,0.0016465069278217435,0.005394977812796965,0.00866571330688316,0.00691341014590319,0.030866704681675357,0.007961004001237205,0.0052552193340452405,0.0004509503172527355,0.0062554766777713836,0.010091032337808451,0.02124201631151058,0.0014099268143200894,0.001771220519766427,0.005532466000126287,0.009190480479002937,0.008111843273011714,0.005831530724897044,0.008241884737384825,0.013024279954072954,0.006830497699994128
Eleanor Roosevelt,0.020006777471135082,0.011655845290060557,0.038191805249529795,0.026497988424412373,0.0006596313188440789,0.0006539467620558864,1.0,0.13857489661607367,0.03913810734985232,0.02182850475312878,0.000676100020217236,0.0008094666357271123,0.0006397934239967544,0.0006710648108839649,0.0008204166434563409,0.01846250762745467,0.039994732507781156,0.0007047433299359004,0.0006447634796226255,0.0006614281415493421,0.0006277119595902982,0.08283344781723374,0.000731521960585592,0.0006906516820245475,0.0007347211437146974,0.029088867287335195,0.0008716163601285616,0.0006208700407968021,0.000617633528333113,0.0006998913215272985,0.049662925560597024,0.0007168014837906964,0.0006846082693235743,0.0006987599601426868,0.00064460358041984,0.024829574771237345,0.0007216112578020895,0.0012603515949627655,0.0006779817069261227,0.02300669398351222,0.0006645356424200705,0.0009387572861728198,0.0009529778996468757,0.0006168662390711387,0.0006316106175939355,0.0006711645692203704,0.0007068140601770966,0.0006406243498902617,0.0006342803082471962,0.000617230958183199
Steve Martin,0.03167587804443897,0.0009813695152690537,0.03815385258240036,0.010723537172424748,0.0010154798485085869,0.0009981582104314163,0.13857489661607367,1.0,0.0404347729608136,0.0344759908255848,0.00104174777319323,0.001420610372374488,0.0009666050601244369,0.0010369656403920637,0.0013993614429700678,0.02916278102091351,0.06321062093922049,0.0011125270484103015,0.0009816404701121747,0.0010106756796763744,0.0009434652129162857,0.13095414164079078,0.0011822755298526958,0.0010770904354066968,0.0011992156796186996,0.01921065400460998,0.0015942643422970086,0.0009261757528407352,0.0009163324884649417,0.0011046665370737755,0.07890789460525949,0.00114329501291285,0.001063958329210822,0.0010984523870455453,0.0009772197242118538,0.039207644647738536,0.0011595736091427906,0.0008159682345181188,0.0010623229110102179,0.03631940931155837,0.0010199415388629188,0.0016186458902964554,0.0018240058819614627,0.0009040776888427366,0.0009411609174747263,0.0010264000251668207,0.00111597948175724,0.0009723917297421456,0.0009552817683156541,0.0009087403616509284
Bob Marley,0.06231786626442044,0.03067439821772067,0.039450566433800766,0.11681486633171118,0.03759257063421428,0.016056937653301514,0.03913810734985232,0.0404347729608136,1.0,0.03358887835950937,0.01769858907799301,0.008374807085245826,0.04505294867230319,0.05877905337016726,0.035673249585457166,0.023208430144606412,0.017859838940934958,0.01731599337456046,0.03232934280869187,0.0021457490885236985,0.05529431877988898,0.03541601262147948,0.002958801341559646,0.00245146141427517,0.002941957376269176,0.03288467841728195,0.00527447634086301,0.03315870093850834,0.04773881456420707,0.002584204813154145,0.003058507390344425,0.0027743034755462253,0.0023893577524275868,0.002556183830898076,0.013151938037720379,0.07895992707458396,0.0028483286255475823,0.0005634955622740912,0.002229930277679034,0.0018193079175560086,0.002186560897231011,0.00226303114964084,0.004150732947681329,0.05456285066398419,0.037966825109219095,0.002220954727627979,0.002637649365874331,0.0672127993729722,0.0018823882993827762,0.0017267281183861447
Dr. Seuss,0.046702022474218334,0.031717457550308005,0.04180784504272547,0.08986900235748978,0.00893292295722261,0.047550371536581516,0.02182850475312878,0.0344759908255848,0.03358887835950937,1.0,0.08482100117949506,0.003275109563211978,0.014432010469726544,0.015701692448513896,0.0023031176835767012,0.01912561827137156,0.027783800809090473,0.050141493929177015,0.06994358848989433,0.039190738577402,0.004651619900158439,0.07948940169316418,0.029907214725307756,0.008263602003848498,0.004030408711177119,0.0020563459482924405,0.00246678046136845,0.046415948303444234,0.11695469265467025,0.0074313919229707995,0.020359588056998945,0.005535893863197344,0.009913390990019056,0.00739280524846032,0.018651861504607428,0.06263562285459191,0.005196098315701958,0.0004504381949771006,0.019960519062951824,0.02056956472117453,0.019165446528095462,0.020135000344568027,0.0017225381198305483,0.04132071480051755,0.012052675506713772,0.03704749524263264,0.006227867825907653,0.006500731126919382,0.052454702754577906,0.007963055648821276
Douglas Adams,0.018540450352192765,0.003731762088775419,0.019209174062972817,0.006760512263759349,0.005805620412706809,0.0087323534633598,0.000676100020217236,0.00104174777319323,0.01769858907799301,0.08482100117949506,1.0,0.0036837177218766964,0.006364328987419889,0.005964477164016907,0.0026848580149439047,0.006831305582585001,0.004508938092858353,0.01191816320353766,0.03849960290168925,0.018336611809236136,0.0034064433945022675,0.027653810580462113,0.006198722227471846,0.022088647744421135,0.004509123110782655,0.002346664426719415,0.002890313792676375,0.03321460891255977,0.068142203195943,0.011232461096405154,0.0016404509329812074,0.008491965439526893,0.029854282890736078,0.014432010469726544,0.007106899931129009,0.010312076371414167,0.006918105800829085,0.0004605770788921348,0.004090084752689052,0.006443060508677537,0.008585737451853172,0.0015272336080370446,0.0017711090009815875,0.005417339883035134,0.007393625599420875,0.01656230260790414,0.01143334828450493,0.004342694761549463,0.005325854690409006,0.005559374179885993
